YearsOfExp,CompanyName,Title,Field of Study,Major,Gender,City,State
10+,,,BSc,,,Mumbai,Maharashtra
10+,,,B.E,B.E,Female,Bengaluru,Karnataka
1,,Analyst,Electronics & Communication Engineering,B.Tech,Male,Mumbai,MAHARASHTRA
2,,,B.Tech,B.Tech,Male,Hyderabad,Telangana
0,not provided,Project Lead,B.E,B.Tech,Male,Bengaluru,
10+,,,MSc,,,Hyderabad,Maharashtra
2,NA,Market Research Analyst,NA,B.Pharm,Male,,IN
10+,,,B.E,,,Bengaluru,Karnataka
8,Saurer Textile Solutions,Asst. Manager - Project Planning (Textile Industry customer project handling),Textile,B.E,Male,Vadodara,Gujarat
7.5,,,MCA,,,SIngapore,Central Singapore Community Development Council
10+,,,Post Graduate Computer Science,,,Bangalore,
,Accenture,,"Electronics and telecommunications, BE",,,Bengaluru,
,,,Electronics,,,Bengaluru,Karnataka
2,Smider Electronics,,BE,BE,,Rudrapur,
7.5,,,B.E,,,Bengaluru,Karnataka
,IPSoft Global Services,,Electrical & Electronics Engg,,,Bengaluru,
12,BT,,CS,,,Bengaluru,
10+,Reliance Jio,Project Manager,Electrical Engineering,B.Tech,Male,Pune,
2,,,B.Tech,,,Mumbai,
10+,,,B.E,,,,
10+,,,B.E,,,Bengaluru,
3.5,,,B.Tech,,,Hyderabad,Telangana
3.5,,,B.Tech,,,Bengaluru,
