,Player,Ave,SR,clusterId
0,SR Tendulkar (INDIA),44.83,86.23,2
1,KC Sangakkara (Asia/ICC/SL),41.98,78.86,1
2,RT Ponting (AUS/ICC),42.03,80.39,1
3,ST Jayasuriya (Asia/SL),32.36,91.2,3
4,DPMD Jayawardene (Asia/SL),33.37,78.96,0
5,Inzamam-ul-Haq (Asia/PAK),39.52,74.24,1
6,JH Kallis (Afr/ICC/SA),44.36,72.89,1
7,SC Ganguly (Asia/INDIA),41.02,73.7,1
8,R Dravid (Asia/ICC/INDIA),39.16,71.24,1
9,BC Lara (ICC/WI),40.48,79.51,1
10,TM Dilshan (SL),39.27,86.23,1
11,Mohammad Yousuf (Asia/PAK),41.71,75.1,1
12,AC Gilchrist (AUS/ICC),35.89,96.94,3
13,MS Dhoni (Asia/INDIA),51.32,88.69,2
14,M Azharuddin (INDIA),36.92,74.02,0
15,AB de Villiers (Afr/SA),53.55,100.25,2
16,PA de Silva (SL),34.9,81.13,0
17,CH Gayle (ICC/WI),37.33,85.11,3
18,Saeed Anwar (PAK),39.21,80.67,1
19,S Chanderpaul (WI),41.6,70.74,1
20,Yuvraj Singh (Asia/INDIA),36.55,87.67,3
21,DL Haynes (WI),41.37,63.09,1
22,MS Atapattu (SL),37.57,67.72,0
23,ME Waugh (AUS),39.35,76.9,1
24,V Sehwag (Asia/ICC/INDIA),35.05,104.33,3
25,V Kohli (INDIA),53.94,90.99,2
26,HH Gibbs (SA),36.13,83.26,0
27,Shahid Afridi (Asia/ICC/PAK),23.57,117.0,3
28,SP Fleming (ICC/NZ),32.4,71.49,0
29,MJ Clarke (AUS),44.58,78.98,1
30,SR Waugh (AUS),32.9,75.91,0
31,A Ranatunga (SL),35.84,77.9,0
32,Javed Miandad (PAK),41.7,67.01,1
33,Younis Khan (PAK),31.24,75.29,0
34,HM Amla (SA),50.25,89.05,2
35,Saleem Malik (PAK),32.88,76.41,0
36,NJ Astle (NZ),34.92,72.64,0
37,GC Smith (Afr/SA),37.98,80.81,1
38,MG Bevan (AUS),53.58,74.16,2
39,G Kirsten (SA),40.95,72.04,1
40,A Flower (ZIM),35.34,74.59,0
41,Shoaib Malik (PAK),35.23,81.72,0
42,IVA Richards (WI),47.0,90.2,2
43,GW Flower (ZIM),33.52,67.58,0
44,Ijaz Ahmed (PAK),32.33,80.3,0
45,AR Border (AUS),30.62,71.42,0
46,LRPL Taylor (NZ),44.12,82.03,1
47,RB Richardson (WI),33.41,63.74,0
48,WU Tharanga (Asia/SL),34.3,75.03,0
49,ML Hayden (AUS/ICC),43.8,78.96,1
50,BB McCullum (NZ),30.41,96.37,3
51,DM Jones (AUS),44.61,72.56,1
52,DC Boon (AUS),37.04,65.13,0
53,JN Rhodes (SA),35.11,80.9,0
54,Mohammad Hafeez (PAK),33.01,75.58,0
55,Rameez Raja (PAK),32.09,63.31,0
56,RR Sarwan (WI),42.67,75.74,1
57,EJG Morgan (ENG/IRE),38.73,88.62,3
58,CL Hooper (WI),35.34,76.63,0
59,SR Watson (AUS),40.54,90.44,3
60,Tamim Iqbal (BDESH),34.38,78.31,0
61,SK Raina (INDIA),35.46,93.76,3
62,WJ Cronje (SA),38.64,76.47,1
63,MJ Guptill (NZ),43.3,87.73,2
64,MEK Hussey (AUS),48.15,87.16,2
65,RG Sharma (INDIA),42.46,84.56,1
66,IR Bell (ENG),37.87,77.16,1
67,A Jadeja (INDIA),37.47,69.8,0
68,DR Martyn (AUS),40.8,77.73,1
69,BRM Taylor (ZIM),34.82,74.47,0
70,G Gambhir (INDIA),39.68,85.25,1
71,ADR Campbell (ZIM),30.5,66.18,0
72,MN Samuels (WI),34.3,76.24,0
73,RS Mahanama (SL),29.49,60.57,0
74,CG Greenidge (WI),45.03,64.92,1
75,Misbah-ul-Haq (PAK),43.4,73.75,1
76,PD Collingwood (ENG),35.36,76.98,0
77,A Symonds (AUS),39.75,92.44,3
78,Abdul Razzaq (Asia/PAK),29.7,81.25,0
